Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,363.55,4362.60,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (100 GB), Quantity (1), Instance type (db.m1.large), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (50 GB)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,5677.12,68125.44,USD,"Operating system (Linux), Quantity (8), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (m5.8xlarge)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,441.65000000000003,5299.80,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Network Load Balancer,0,60.23,722.76,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (10 GB per hour), Average number of new TCP connections (1 per second), Average TCP connection duration (1 seconds)"
My Estimate,US East (N. Virginia),,Gateway Load Balancer,0,80.3,963.60,USD,"Number of Availability Zones that Gateway Load Balancer is deployed to (2), Number of Gateway Load Balancer Endpoints (1), Total processed bytes (10 GB per hour), Average number of new connections/flows (1 per second), Average connection/flow duration (1 seconds)"
My Estimate,US East (N. Virginia),,VPN Connection,0,494,5928.00,USD,"Working days per month (22), Number of Site-to-Site VPN Connections (2), Number of subnet associations (2)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,987.3,11847.60,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),,Data Transfer,0,409.6,4915.20,USD,"DT Inbound: Internet (1 TB per month), DT Outbound: All other regions (10 TB per month), DT Intra-Region: (10 TB per month), Data transfer cost (409.6)"
My Estimate,US East (N. Virginia),,Gateway Load Balancer,0,80.30000000000001,963.60,USD,"Number of Availability Zones that Gateway Load Balancer is deployed to (2), Number of Gateway Load Balancer Endpoints (1), Total processed bytes (10 GB per hour), Average number of new connections/flows (1 per second), Average connection/flow duration (1 seconds)"
My Estimate,US East (N. Virginia),,Amazon API Gateway,0,450,5400.00,USD,"HTTP API requests units (millions), Average size of each request (100 KB), REST API request units (millions), Cache memory size (GB) (None), WebSocket message units (thousands), Average message size (100 KB), Requests (100 per month), Requests (100 per month)"
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,8461.08,101532.96,USD,"GetMetricData: Number of metrics requested (50000000), GetMetricWidgetImage: Number of metrics requested (50000000), Number of other API requests (50000000), Number of Metrics (includes detailed and custom metrics) (50), Standard Logs: Data Ingested (5 TB), Logs Delivered to CloudWatch Logs: Data Ingested (5 TB), Logs Delivered to S3: Data Ingested (5 TB), Number of Lambda functions ()"
My Estimate,US East (N. Virginia),,S3 Standard,0,27.74,332.88,USD,S3 Standard storage (1 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Amazon CloudFront (1 TB per month)"
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,1080.2,12962.40,USD,"Data transfer out to internet (10 TB per month), Data transfer out to origin (10 TB per month), Number of requests (HTTPS) (5 million per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
